Method,Test Runs,Original Image,Original Image Size (KB),Original Image Path,Compressed Image,Compressed Image Size (KB),Compressed Image Path,Compression Ratio,Build Tree Time (ms),Nearest Search Time (ms),CNN Inference Time (ms),Encoding Time (s),Decoding Time (s),PSNR (dB),SSIM,Blocks (blocks/s)
vp-tree,1,glioma_0934.jpg,19.43,data/dataset/glioma\glioma_0934.jpg,vp-tree_1_compressed_glioma_0934.jpg,3.53,data/compressed/multiTest\vp-tree_1_compressed_glioma_0934.jpg,1:5,16.8879,0.2079,18.04,0.262,0.0295,28.0195,0.8888,4716.5162
vp-tree,1,glioma_0171.jpg,19.81,data/dataset/glioma\glioma_0171.jpg,vp-tree_1_compressed_glioma_0171.jpg,3.71,data/compressed/multiTest\vp-tree_1_compressed_glioma_0171.jpg,1:5,15.7485,0.227,16.0004,0.2689,0.0375,27.3932,0.8967,4329.8573
vp-tree,1,glioma_0111.jpg,19.91,data/dataset/glioma\glioma_0111.jpg,vp-tree_1_compressed_glioma_0111.jpg,3.68,data/compressed/multiTest\vp-tree_1_compressed_glioma_0111.jpg,1:5,16.272,0.1343,17.1085,0.1749,0.0316,30.1989,0.8784,7247.7616
vp-tree,1,glioma_0918.jpg,19.93,data/dataset/glioma\glioma_0918.jpg,vp-tree_1_compressed_glioma_0918.jpg,3.73,data/compressed/multiTest\vp-tree_1_compressed_glioma_0918.jpg,1:5,16.4021,0.2991,18.8822,0.3493,0.0327,27.3042,0.8782,3274.6435
vp-tree,1,glioma_0558.jpg,20.02,data/dataset/glioma\glioma_0558.jpg,vp-tree_1_compressed_glioma_0558.jpg,3.59,data/compressed/multiTest\vp-tree_1_compressed_glioma_0558.jpg,1:5,15.6955,0.2339,17.5116,0.2779,0.0384,26.5091,0.8895,4193.8166
vp-tree,1,pituitary_0048.jpg,328.59,data/dataset/pituitary\pituitary_0048.jpg,vp-tree_1_compressed_pituitary_0048.jpg,11.09,data/compressed/multiTest\vp-tree_1_compressed_pituitary_0048.jpg,1:29,14.1223,0.0412,15.3715,0.0739,0.0385,20.2453,0.6146,22674.3813
vp-tree,1,pituitary_0681.jpg,266.28,data/dataset/pituitary\pituitary_0681.jpg,vp-tree_1_compressed_pituitary_0681.jpg,11.04,data/compressed/multiTest\vp-tree_1_compressed_pituitary_0681.jpg,1:24,15.4288,0.0438,16.2056,0.0763,0.0403,21.1139,0.5946,21363.8213
vp-tree,1,pituitary_0287.jpg,236.31,data/dataset/pituitary\pituitary_0287.jpg,vp-tree_1_compressed_pituitary_0287.jpg,7.72,data/compressed/multiTest\vp-tree_1_compressed_pituitary_0287.jpg,1:30,14.5244,0.0463,17.5533,0.0836,0.0313,21.8566,0.7343,20575.7596
vp-tree,1,pituitary_0798.jpg,147.91,data/dataset/pituitary\pituitary_0798.jpg,vp-tree_1_compressed_pituitary_0798.jpg,8.4,data/compressed/multiTest\vp-tree_1_compressed_pituitary_0798.jpg,1:17,15.3114,0.0516,17.9845,0.0897,0.042,23.0239,0.6882,18396.884
vp-tree,1,pituitary_0598.jpg,124.3,data/dataset/pituitary\pituitary_0598.jpg,vp-tree_1_compressed_pituitary_0598.jpg,9.64,data/compressed/multiTest\vp-tree_1_compressed_pituitary_0598.jpg,1:12,16.5811,0.051,20.4042,0.0936,0.0465,22.2135,0.6851,18445.7642
vp-tree,1,pituitary_0274.jpg,48.93,data/dataset/pituitary\pituitary_0274.jpg,vp-tree_1_compressed_pituitary_0274.jpg,8.0,data/compressed/multiTest\vp-tree_1_compressed_pituitary_0274.jpg,1:6,15.3578,0.0408,18.4571,0.0714,0.0396,22.3286,0.7439,22828.4035
vp-tree,1,pituitary_0873.jpg,48.93,data/dataset/pituitary\pituitary_0873.jpg,vp-tree_1_compressed_pituitary_0873.jpg,8.53,data/compressed/multiTest\vp-tree_1_compressed_pituitary_0873.jpg,1:5,15.4603,0.0394,16.776,0.0675,0.0395,21.3409,0.7143,23555.1211
vp-tree,1,pituitary_0971.jpg,48.95,data/dataset/pituitary\pituitary_0971.jpg,vp-tree_1_compressed_pituitary_0971.jpg,8.29,data/compressed/multiTest\vp-tree_1_compressed_pituitary_0971.jpg,1:5,17.4136,0.042,16.3443,0.0794,0.043,22.8733,0.714,22406.3648
vp-tree,1,pituitary_0816.jpg,48.95,data/dataset/pituitary\pituitary_0816.jpg,vp-tree_1_compressed_pituitary_0816.jpg,8.42,data/compressed/multiTest\vp-tree_1_compressed_pituitary_0816.jpg,1:5,14.9939,0.0404,15.7793,0.0763,0.0275,22.8937,0.6987,23525.0332
vp-tree,1,pituitary_0217.jpg,48.97,data/dataset/pituitary\pituitary_0217.jpg,vp-tree_1_compressed_pituitary_0217.jpg,8.34,data/compressed/multiTest\vp-tree_1_compressed_pituitary_0217.jpg,1:5,14.7881,0.0401,17.4539,0.0843,0.0316,23.2307,0.7039,23498.3111
vp-tree,1,pituitary_0106.jpg,20.61,data/dataset/pituitary\pituitary_0106.jpg,vp-tree_1_compressed_pituitary_0106.jpg,9.5,data/compressed/multiTest\vp-tree_1_compressed_pituitary_0106.jpg,1:2,16.6467,0.0433,16.2771,0.0722,0.0417,23.7042,0.6251,22006.976
vp-tree,1,pituitary_0249.jpg,20.92,data/dataset/pituitary\pituitary_0249.jpg,vp-tree_1_compressed_pituitary_0249.jpg,10.1,data/compressed/multiTest\vp-tree_1_compressed_pituitary_0249.jpg,1:2,16.6613,0.0427,18.0743,0.0828,0.0341,22.9286,0.6001,22178.5198
vp-tree,1,pituitary_0498.jpg,20.98,data/dataset/pituitary\pituitary_0498.jpg,vp-tree_1_compressed_pituitary_0498.jpg,10.2,data/compressed/multiTest\vp-tree_1_compressed_pituitary_0498.jpg,1:2,17.4599,0.0444,20.0359,0.0914,0.0293,22.7003,0.5954,21120.3696
vp-tree,1,pituitary_0218.jpg,21.46,data/dataset/pituitary\pituitary_0218.jpg,vp-tree_1_compressed_pituitary_0218.jpg,9.96,data/compressed/multiTest\vp-tree_1_compressed_pituitary_0218.jpg,1:2,15.1901,0.0452,15.7246,0.0816,0.0368,23.0703,0.6012,21102.7419
vp-tree,1,pituitary_0499.jpg,21.79,data/dataset/pituitary\pituitary_0499.jpg,vp-tree_1_compressed_pituitary_0499.jpg,10.21,data/compressed/multiTest\vp-tree_1_compressed_pituitary_0499.jpg,1:2,15.829,0.0441,16.8644,0.0792,0.0351,22.856,0.591,21344.7172
vp-tree,2,glioma_0132.jpg,53.32,data/dataset/glioma\glioma_0132.jpg,vp-tree_2_compressed_glioma_0132.jpg,9.29,data/compressed/multiTest\vp-tree_2_compressed_glioma_0132.jpg,1:5,16.9056,0.0449,18.168,0.0786,0.0407,21.185,0.6513,21175.7942
vp-tree,2,glioma_0990.jpg,53.23,data/dataset/glioma\glioma_0990.jpg,vp-tree_2_compressed_glioma_0990.jpg,8.73,data/compressed/multiTest\vp-tree_2_compressed_glioma_0990.jpg,1:6,18.2492,0.0625,21.7116,0.1019,0.0514,22.0826,0.6841,15273.3694
vp-tree,2,glioma_0322.jpg,52.54,data/dataset/glioma\glioma_0322.jpg,vp-tree_2_compressed_glioma_0322.jpg,8.92,data/compressed/multiTest\vp-tree_2_compressed_glioma_0322.jpg,1:5,20.9876,0.0495,18.7005,0.0925,0.0452,21.8507,0.686,19173.5525
vp-tree,2,glioma_0296.jpg,52.2,data/dataset/glioma\glioma_0296.jpg,vp-tree_2_compressed_glioma_0296.jpg,8.38,data/compressed/multiTest\vp-tree_2_compressed_glioma_0296.jpg,1:6,16.561,0.0442,17.3948,0.0822,0.0408,24.1752,0.6968,21353.7083
vp-tree,2,glioma_0102.jpg,50.99,data/dataset/glioma\glioma_0102.jpg,vp-tree_2_compressed_glioma_0102.jpg,8.53,data/compressed/multiTest\vp-tree_2_compressed_glioma_0102.jpg,1:5,23.2892,0.0435,18.3328,0.0921,0.0555,22.9667,0.6676,21707.2866
vp-tree,2,glioma_0840.jpg,34.0,data/dataset/glioma\glioma_0840.jpg,vp-tree_2_compressed_glioma_0840.jpg,5.69,data/compressed/multiTest\vp-tree_2_compressed_glioma_0840.jpg,1:5,16.7532,0.2547,28.1934,0.3182,0.0503,24.1973,0.8028,3848.4247
vp-tree,2,glioma_0557.jpg,34.01,data/dataset/glioma\glioma_0557.jpg,vp-tree_2_compressed_glioma_0557.jpg,6.04,data/compressed/multiTest\vp-tree_2_compressed_glioma_0557.jpg,1:5,17.5927,0.1479,17.6371,0.1838,0.0509,23.0257,0.7969,6603.5546
vp-tree,2,glioma_0386.jpg,34.02,data/dataset/glioma\glioma_0386.jpg,vp-tree_2_compressed_glioma_0386.jpg,5.88,data/compressed/multiTest\vp-tree_2_compressed_glioma_0386.jpg,1:5,17.7499,0.1435,21.6864,0.1854,0.0624,26.156,0.7895,6814.2692
vp-tree,2,glioma_0769.jpg,34.04,data/dataset/glioma\glioma_0769.jpg,vp-tree_2_compressed_glioma_0769.jpg,6.09,data/compressed/multiTest\vp-tree_2_compressed_glioma_0769.jpg,1:5,20.2257,0.1612,20.6352,0.2139,0.0539,24.4776,0.7937,6050.7757
vp-tree,2,glioma_0159.jpg,34.04,data/dataset/glioma\glioma_0159.jpg,vp-tree_2_compressed_glioma_0159.jpg,5.85,data/compressed/multiTest\vp-tree_2_compressed_glioma_0159.jpg,1:5,17.7489,0.1509,20.9516,0.1987,0.054,25.9644,0.7973,6442.7882
vp-tree,2,glioma_0934.jpg,19.43,data/dataset/glioma\glioma_0934.jpg,vp-tree_2_compressed_glioma_0934.jpg,3.53,data/compressed/multiTest\vp-tree_2_compressed_glioma_0934.jpg,1:5,19.2179,0.2601,18.0243,0.3166,0.0625,28.0407,0.885,3775.6163
vp-tree,2,glioma_0171.jpg,19.81,data/dataset/glioma\glioma_0171.jpg,vp-tree_2_compressed_glioma_0171.jpg,3.65,data/compressed/multiTest\vp-tree_2_compressed_glioma_0171.jpg,1:5,17.4215,0.2985,21.0343,0.3458,0.0509,27.3814,0.898,3286.1041
vp-tree,2,glioma_0111.jpg,19.91,data/dataset/glioma\glioma_0111.jpg,vp-tree_2_compressed_glioma_0111.jpg,3.54,data/compressed/multiTest\vp-tree_2_compressed_glioma_0111.jpg,1:5,23.8748,0.2094,21.3845,0.2645,0.0508,30.5255,0.8861,4667.9233
vp-tree,2,glioma_0918.jpg,19.93,data/dataset/glioma\glioma_0918.jpg,vp-tree_2_compressed_glioma_0918.jpg,3.77,data/compressed/multiTest\vp-tree_2_compressed_glioma_0918.jpg,1:5,18.7764,0.2955,18.8671,0.3461,0.0482,27.185,0.8829,3320.3018
vp-tree,2,glioma_0558.jpg,20.02,data/dataset/glioma\glioma_0558.jpg,vp-tree_2_compressed_glioma_0558.jpg,3.68,data/compressed/multiTest\vp-tree_2_compressed_glioma_0558.jpg,1:5,27.6827,0.3051,54.5158,0.4086,0.037,26.4278,0.8921,3189.4578
vp-tree,2,pituitary_0048.jpg,328.59,data/dataset/pituitary\pituitary_0048.jpg,vp-tree_2_compressed_pituitary_0048.jpg,11.04,data/compressed/multiTest\vp-tree_2_compressed_pituitary_0048.jpg,1:29,15.8789,0.0572,56.2166,0.1428,0.0544,20.4527,0.6055,16651.5166
vp-tree,2,pituitary_0681.jpg,266.28,data/dataset/pituitary\pituitary_0681.jpg,vp-tree_2_compressed_pituitary_0681.jpg,11.02,data/compressed/multiTest\vp-tree_2_compressed_pituitary_0681.jpg,1:24,15.0671,0.0777,57.8732,0.1587,0.0539,21.1822,0.5949,12348.1056
vp-tree,2,pituitary_0287.jpg,236.31,data/dataset/pituitary\pituitary_0287.jpg,vp-tree_2_compressed_pituitary_0287.jpg,7.72,data/compressed/multiTest\vp-tree_2_compressed_pituitary_0287.jpg,1:30,24.9171,0.0832,70.8828,0.1893,0.0975,21.6142,0.7175,11430.5361
vp-tree,2,pituitary_0798.jpg,147.91,data/dataset/pituitary\pituitary_0798.jpg,vp-tree_2_compressed_pituitary_0798.jpg,8.55,data/compressed/multiTest\vp-tree_2_compressed_pituitary_0798.jpg,1:17,15.6666,0.0768,62.8061,0.1576,0.0476,22.922,0.6872,12529.7643
vp-tree,2,pituitary_0598.jpg,124.3,data/dataset/pituitary\pituitary_0598.jpg,vp-tree_2_compressed_pituitary_0598.jpg,9.57,data/compressed/multiTest\vp-tree_2_compressed_pituitary_0598.jpg,1:12,26.7346,0.0607,61.9592,0.153,0.0476,22.4417,0.6785,15627.1222
vp-tree,2,pituitary_0274.jpg,48.93,data/dataset/pituitary\pituitary_0274.jpg,vp-tree_2_compressed_pituitary_0274.jpg,8.13,data/compressed/multiTest\vp-tree_2_compressed_pituitary_0274.jpg,1:6,14.7195,0.056,61.073,0.1272,0.0636,22.4207,0.7491,16735.7178
vp-tree,2,pituitary_0873.jpg,48.93,data/dataset/pituitary\pituitary_0873.jpg,vp-tree_2_compressed_pituitary_0873.jpg,8.41,data/compressed/multiTest\vp-tree_2_compressed_pituitary_0873.jpg,1:5,17.3167,0.0566,61.9083,0.143,0.0479,21.1434,0.7153,16703.9951
vp-tree,2,pituitary_0971.jpg,48.95,data/dataset/pituitary\pituitary_0971.jpg,vp-tree_2_compressed_pituitary_0971.jpg,8.26,data/compressed/multiTest\vp-tree_2_compressed_pituitary_0971.jpg,1:5,15.1072,0.0518,61.779,0.125,0.0476,22.3027,0.706,18326.9171
vp-tree,2,pituitary_0816.jpg,48.95,data/dataset/pituitary\pituitary_0816.jpg,vp-tree_2_compressed_pituitary_0816.jpg,8.38,data/compressed/multiTest\vp-tree_2_compressed_pituitary_0816.jpg,1:5,18.603,0.0733,60.9318,0.1599,0.0476,22.9851,0.7014,12994.3962
vp-tree,2,pituitary_0217.jpg,48.97,data/dataset/pituitary\pituitary_0217.jpg,vp-tree_2_compressed_pituitary_0217.jpg,8.29,data/compressed/multiTest\vp-tree_2_compressed_pituitary_0217.jpg,1:5,21.57,0.047,60.1758,0.1433,0.0319,23.2162,0.7037,20052.8345
vp-tree,2,pituitary_0106.jpg,20.61,data/dataset/pituitary\pituitary_0106.jpg,vp-tree_2_compressed_pituitary_0106.jpg,9.67,data/compressed/multiTest\vp-tree_2_compressed_pituitary_0106.jpg,1:2,32.7853,0.0565,70.0932,0.1583,0.0479,23.8102,0.6306,16734.8426
vp-tree,2,pituitary_0249.jpg,20.92,data/dataset/pituitary\pituitary_0249.jpg,vp-tree_2_compressed_pituitary_0249.jpg,9.94,data/compressed/multiTest\vp-tree_2_compressed_pituitary_0249.jpg,1:2,20.7067,0.0476,72.589,0.1563,0.0328,22.9575,0.602,19950.63
vp-tree,2,pituitary_0498.jpg,20.98,data/dataset/pituitary\pituitary_0498.jpg,vp-tree_2_compressed_pituitary_0498.jpg,10.11,data/compressed/multiTest\vp-tree_2_compressed_pituitary_0498.jpg,1:2,14.4123,0.0417,61.2328,0.126,0.0294,23.0276,0.6069,22690.8614
vp-tree,2,pituitary_0218.jpg,21.46,data/dataset/pituitary\pituitary_0218.jpg,vp-tree_2_compressed_pituitary_0218.jpg,10.1,data/compressed/multiTest\vp-tree_2_compressed_pituitary_0218.jpg,1:2,14.8232,0.0466,61.7448,0.1228,0.0405,23.1054,0.5992,19948.9587
vp-tree,2,pituitary_0499.jpg,21.79,data/dataset/pituitary\pituitary_0499.jpg,vp-tree_2_compressed_pituitary_0499.jpg,10.4,data/compressed/multiTest\vp-tree_2_compressed_pituitary_0499.jpg,1:2,13.3861,0.0448,61.3496,0.1219,0.0413,22.697,0.5835,20896.5092
vp-tree,3,glioma_0132.jpg,53.32,data/dataset/glioma\glioma_0132.jpg,vp-tree_3_compressed_glioma_0132.jpg,9.35,data/compressed/multiTest\vp-tree_3_compressed_glioma_0132.jpg,1:5,15.0093,0.0484,61.1884,0.1299,0.0493,21.0725,0.656,19725.5376
vp-tree,3,glioma_0990.jpg,53.23,data/dataset/glioma\glioma_0990.jpg,vp-tree_3_compressed_glioma_0990.jpg,8.98,data/compressed/multiTest\vp-tree_3_compressed_glioma_0990.jpg,1:5,17.0134,0.0421,61.7507,0.1149,0.0553,22.1229,0.6779,22400.091
vp-tree,3,glioma_0322.jpg,52.54,data/dataset/glioma\glioma_0322.jpg,vp-tree_3_compressed_glioma_0322.jpg,8.9,data/compressed/multiTest\vp-tree_3_compressed_glioma_0322.jpg,1:5,13.5491,0.0408,60.431,0.1244,0.042,21.8602,0.683,22972.5182
vp-tree,3,glioma_0296.jpg,52.2,data/dataset/glioma\glioma_0296.jpg,vp-tree_3_compressed_glioma_0296.jpg,8.36,data/compressed/multiTest\vp-tree_3_compressed_glioma_0296.jpg,1:6,14.9562,0.039,61.0973,0.1328,0.0576,24.107,0.6925,24083.6342
vp-tree,3,glioma_0102.jpg,50.99,data/dataset/glioma\glioma_0102.jpg,vp-tree_3_compressed_glioma_0102.jpg,8.64,data/compressed/multiTest\vp-tree_3_compressed_glioma_0102.jpg,1:5,13.9325,0.0438,69.0679,0.1324,0.0269,23.1416,0.6729,21323.6932
vp-tree,3,glioma_0840.jpg,34.0,data/dataset/glioma\glioma_0840.jpg,vp-tree_3_compressed_glioma_0840.jpg,5.61,data/compressed/multiTest\vp-tree_3_compressed_glioma_0840.jpg,1:6,14.3125,0.2015,59.4865,0.2796,0.0493,24.1975,0.8126,4866.9294
vp-tree,3,glioma_0557.jpg,34.01,data/dataset/glioma\glioma_0557.jpg,vp-tree_3_compressed_glioma_0557.jpg,6.09,data/compressed/multiTest\vp-tree_3_compressed_glioma_0557.jpg,1:5,14.2314,0.1336,61.1773,0.2203,0.0345,22.954,0.792,7214.4481
vp-tree,3,glioma_0386.jpg,34.02,data/dataset/glioma\glioma_0386.jpg,vp-tree_3_compressed_glioma_0386.jpg,5.94,data/compressed/multiTest\vp-tree_3_compressed_glioma_0386.jpg,1:5,14.3158,0.1291,61.5256,0.2114,0.0412,26.0923,0.7886,7587.9449
vp-tree,3,glioma_0769.jpg,34.04,data/dataset/glioma\glioma_0769.jpg,vp-tree_3_compressed_glioma_0769.jpg,6.14,data/compressed/multiTest\vp-tree_3_compressed_glioma_0769.jpg,1:5,14.3388,0.1467,60.6344,0.2237,0.0427,24.3826,0.7895,6627.5443
vp-tree,3,glioma_0159.jpg,34.04,data/dataset/glioma\glioma_0159.jpg,vp-tree_3_compressed_glioma_0159.jpg,6.06,data/compressed/multiTest\vp-tree_3_compressed_glioma_0159.jpg,1:5,13.9776,0.1253,61.4812,0.2041,0.0371,25.684,0.7889,7764.8347
vp-tree,3,glioma_0934.jpg,19.43,data/dataset/glioma\glioma_0934.jpg,vp-tree_3_compressed_glioma_0934.jpg,3.57,data/compressed/multiTest\vp-tree_3_compressed_glioma_0934.jpg,1:5,14.2786,0.2021,60.4911,0.2811,0.0348,28.2779,0.8904,4840.0034
vp-tree,3,glioma_0171.jpg,19.81,data/dataset/glioma\glioma_0171.jpg,vp-tree_3_compressed_glioma_0171.jpg,3.59,data/compressed/multiTest\vp-tree_3_compressed_glioma_0171.jpg,1:5,14.2933,0.2531,60.4668,0.3416,0.0402,27.8589,0.9068,3857.577
vp-tree,3,glioma_0111.jpg,19.91,data/dataset/glioma\glioma_0111.jpg,vp-tree_3_compressed_glioma_0111.jpg,3.59,data/compressed/multiTest\vp-tree_3_compressed_glioma_0111.jpg,1:5,14.8208,0.1685,65.1488,0.2562,0.0356,30.7086,0.8905,5774.2711
vp-tree,3,glioma_0918.jpg,19.93,data/dataset/glioma\glioma_0918.jpg,vp-tree_3_compressed_glioma_0918.jpg,3.71,data/compressed/multiTest\vp-tree_3_compressed_glioma_0918.jpg,1:5,13.8113,0.2417,59.9729,0.3303,0.0457,27.1209,0.8772,4066.0446
vp-tree,3,glioma_0558.jpg,20.02,data/dataset/glioma\glioma_0558.jpg,vp-tree_3_compressed_glioma_0558.jpg,3.7,data/compressed/multiTest\vp-tree_3_compressed_glioma_0558.jpg,1:5,14.3892,0.2619,60.1717,0.3413,0.0527,26.5795,0.8867,3732.8613
vp-tree,3,pituitary_0048.jpg,328.59,data/dataset/pituitary\pituitary_0048.jpg,vp-tree_3_compressed_pituitary_0048.jpg,11.12,data/compressed/multiTest\vp-tree_3_compressed_pituitary_0048.jpg,1:29,13.5424,0.0402,59.4129,0.1195,0.0284,20.1795,0.6022,23081.9341
vp-tree,3,pituitary_0681.jpg,266.28,data/dataset/pituitary\pituitary_0681.jpg,vp-tree_3_compressed_pituitary_0681.jpg,10.98,data/compressed/multiTest\vp-tree_3_compressed_pituitary_0681.jpg,1:24,16.1249,0.0427,63.0493,0.1274,0.0412,21.1783,0.5979,22129.3921
vp-tree,3,pituitary_0287.jpg,236.31,data/dataset/pituitary\pituitary_0287.jpg,vp-tree_3_compressed_pituitary_0287.jpg,7.8,data/compressed/multiTest\vp-tree_3_compressed_pituitary_0287.jpg,1:30,13.8205,0.0514,60.0969,0.1315,0.0349,21.8136,0.7251,18318.6552
vp-tree,3,pituitary_0798.jpg,147.91,data/dataset/pituitary\pituitary_0798.jpg,vp-tree_3_compressed_pituitary_0798.jpg,8.41,data/compressed/multiTest\vp-tree_3_compressed_pituitary_0798.jpg,1:17,13.6695,0.044,61.4045,0.1254,0.0359,22.6611,0.6739,21009.6965
vp-tree,3,pituitary_0598.jpg,124.3,data/dataset/pituitary\pituitary_0598.jpg,vp-tree_3_compressed_pituitary_0598.jpg,9.61,data/compressed/multiTest\vp-tree_3_compressed_pituitary_0598.jpg,1:12,15.6211,0.0454,62.6511,0.1352,0.0274,22.6071,0.6905,20806.1573
vp-tree,3,pituitary_0274.jpg,48.93,data/dataset/pituitary\pituitary_0274.jpg,vp-tree_3_compressed_pituitary_0274.jpg,8.05,data/compressed/multiTest\vp-tree_3_compressed_pituitary_0274.jpg,1:6,13.5244,0.0408,61.7028,0.1137,0.0438,22.1208,0.7375,22750.4999
vp-tree,3,pituitary_0873.jpg,48.93,data/dataset/pituitary\pituitary_0873.jpg,vp-tree_3_compressed_pituitary_0873.jpg,8.33,data/compressed/multiTest\vp-tree_3_compressed_pituitary_0873.jpg,1:5,14.3295,0.0426,60.7373,0.1216,0.0465,21.7597,0.7254,21740.192
vp-tree,3,pituitary_0971.jpg,48.95,data/dataset/pituitary\pituitary_0971.jpg,vp-tree_3_compressed_pituitary_0971.jpg,8.3,data/compressed/multiTest\vp-tree_3_compressed_pituitary_0971.jpg,1:5,14.9036,0.0404,60.4126,0.1113,0.0353,22.2125,0.7039,23374.7261
vp-tree,3,pituitary_0816.jpg,48.95,data/dataset/pituitary\pituitary_0816.jpg,vp-tree_3_compressed_pituitary_0816.jpg,8.47,data/compressed/multiTest\vp-tree_3_compressed_pituitary_0816.jpg,1:5,16.4325,0.0535,60.1275,0.1426,0.0451,23.2545,0.7178,17645.1025
vp-tree,3,pituitary_0217.jpg,48.97,data/dataset/pituitary\pituitary_0217.jpg,vp-tree_3_compressed_pituitary_0217.jpg,8.3,data/compressed/multiTest\vp-tree_3_compressed_pituitary_0217.jpg,1:5,14.1751,0.0416,63.2979,0.1144,0.0429,22.9531,0.7044,22620.2862
vp-tree,3,pituitary_0106.jpg,20.61,data/dataset/pituitary\pituitary_0106.jpg,vp-tree_3_compressed_pituitary_0106.jpg,9.67,data/compressed/multiTest\vp-tree_3_compressed_pituitary_0106.jpg,1:2,14.7449,0.0413,60.0575,0.1278,0.0405,23.769,0.6217,22898.1346
vp-tree,3,pituitary_0249.jpg,20.92,data/dataset/pituitary\pituitary_0249.jpg,vp-tree_3_compressed_pituitary_0249.jpg,10.0,data/compressed/multiTest\vp-tree_3_compressed_pituitary_0249.jpg,1:2,13.6088,0.0419,59.6447,0.1135,0.0418,22.9452,0.5945,22538.6337
vp-tree,3,pituitary_0498.jpg,20.98,data/dataset/pituitary\pituitary_0498.jpg,vp-tree_3_compressed_pituitary_0498.jpg,10.1,data/compressed/multiTest\vp-tree_3_compressed_pituitary_0498.jpg,1:2,13.753,0.0437,59.8765,0.1164,0.0413,22.7958,0.6019,21395.1564
vp-tree,3,pituitary_0218.jpg,21.46,data/dataset/pituitary\pituitary_0218.jpg,vp-tree_3_compressed_pituitary_0218.jpg,10.12,data/compressed/multiTest\vp-tree_3_compressed_pituitary_0218.jpg,1:2,14.568,0.0468,60.2887,0.1335,0.0383,23.0937,0.5956,20209.4361
vp-tree,3,pituitary_0499.jpg,21.79,data/dataset/pituitary\pituitary_0499.jpg,vp-tree_3_compressed_pituitary_0499.jpg,10.3,data/compressed/multiTest\vp-tree_3_compressed_pituitary_0499.jpg,1:2,13.9359,0.0409,60.0652,0.1202,0.0348,22.7833,0.5916,23199.0702
